lbr_brand_nm,snpsht_day,mth_nm,snpsht_yr,sku_cd,catg,subcatg,glance_view
Kellogg's,1,APRIL,2024,B0BBLMJKM6,Grocery-Cereal & Muesli,Flakes,3688.03
Kellogg's,1,APRIL,2024,B0B15JBFJ7,Grocery-Cereal & Muesli,Muesli,1317.42
Kellogg's,1,APRIL,2024,B0077PPD9E,Grocery-Cereal & Muesli,Granola Cereals,59.46
Kellogg's,1,APRIL,2024,B0BSLKSW12,Grocery-Cereal & Muesli,Granola Cereals,1276.16
Kellogg's,1,APRIL,2024,B07P22XHDY,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B07CZPKRM5,Grocery-Cereal & Muesli,Muesli,4965.54
Kellogg's,1,APRIL,2024,B08D3VG3XQ,Grocery-Cereal & Muesli,Cereal & Snack Bars,1014.77
Kellogg's,1,APRIL,2024,B09N7FCS2Y,Grocery-Cereal & Muesli,Flakes,355.58
Kellogg's,1,APRIL,2024,B09BJCJC2F,Grocery-Cereal & Muesli,Granola Cereals,4049.39
Kellogg's,1,APRIL,2024,B095K6FW48,Grocery-Cereal & Muesli,Flakes,73.15
Kellogg's,1,APRIL,2024,B0077PPF2O,Grocery-Cereal & Muesli,Muesli,40.11
Kellogg's,1,APRIL,2024,B08D3SNL9W,Grocery-Cereal & Muesli,Flakes,191.41
Kellogg's,1,APRIL,2024,B00TIMOIYA,Grocery-Cereal & Muesli,Flakes,37.59
Kellogg's,1,APRIL,2024,B06XXDYDHJ,Grocery-Cereal & Muesli,Flakes,656.03
Kellogg's,1,APRIL,2024,B0C1NTCY2P,Grocery-Cereal & Muesli,Cereal Bars,80.32
Kellogg's,1,APRIL,2024,B00TZIHKB0,Grocery-Cereal & Muesli,Muesli,37.12
Kellogg's,1,APRIL,2024,B01HMO5B8M,Grocery-Cereal & Muesli,Flakes,58.83
Kellogg's,1,APRIL,2024,B09VGCB4KW,Grocery-Cereal & Muesli,Flakes,183.39
Kellogg's,1,APRIL,2024,B0077PPD9E,Grocery-Cereal & Muesli,Flakes,37.42
Kellogg's,1,APRIL,2024,B09SDB4DDZ,"Grocery-Rice, Flour & Pulses",Flakes,68.37
Kellogg's,1,APRIL,2024,B0CW1KX5WW,Grocery-Cereal & Muesli,Flakes,1651.77
Kellogg's,1,APRIL,2024,B083QQ3JK9,Grocery-Cereal & Muesli,Flakes,1177.19
Kellogg's,1,APRIL,2024,B07117KNX6,Grocery-Cereal & Muesli,Muesli,52.09
